"articleID","articleWordCount","byline","documentType","headline","keywords","multimedia","newDesk","printPage","pubDate","sectionName","snippet","source","typeOfMaterial","webURL"
"5a7101c110f40f00018be961",1322,"By SHANNON SIMS","article","Rhythm of the Streets: ‘We’re Warrior Women, and Yes, We Can Play’","['Bahia (Brazil)', 'Music', 'Women and Girls', 'Banda Dida (Music Group)', 'Drums', 'Carnival (Pre-Lenten)']",68,"Travel",5,"01/30/18 11:37 PM","Unknown","Meet the all-female Brazilian drum group that is challenging gender norms.","The New York Times","News","https://www.nytimes.com/2018/01/30/travel/brazil-all-female-drums-bahia-banda-dida.html"
"5a70fc1210f40f00018be950",1308,"By ALAN RAPPEPORT and THOMAS KAPLAN","article","As Deficit Grows, Congress Keeps Spending","['United States Politics and Government', 'Federal Budget (US)', 'Federal Taxes (US)', 'National Debt (US)', 'Infrastructure (Public Works)', 'Trump, Donald J']",68,"Washington",17,"01/30/18 11:13 PM","Politics","Treasury Secretary Steven Mnuchin urged Congress to lift the debt ceiling as lawmakers embark on a spending spree.","The New York Times","News","https://www.nytimes.com/2018/01/30/us/politics/federal-deficit-1-trillion.html"
"5a70f8f810f40f00018be943",228,"By JANE LANG","article","Lesson in Select Bus Service","['Buses', 'Pennsylvania Station (Manhattan, NY)', 'New York City']",0,"Metro",16,"01/30/18 11:00 PM","Unknown","A woman finds out what happens when you don’t pay your fare before boarding.","The New York Times","News","https://www.nytimes.com/2018/01/30/nyregion/metropolitan-diary-lesson-in-select-bus-service.html"
"5a70eb8110f40f00018be925",1114,"By THE EDITORIAL BOARD","article","Here’s the Real State of the Union","['State of the Union Message (US)', 'Trump, Donald J', 'United States Politics and Government', 'United States International Relations']",61,"Editorial",24,"01/30/18 10:02 PM","Editorials","The reaction against his authoritarian impulses, assault on truth and cruelties great and petty has revealed abiding American strengths.","The New York Times","Editorial","https://www.nytimes.com/2018/01/30/opinion/editorials/donald-trump-sotu-boasting.html"
"5a70d1d210f40f00018be8d9",777,"By BERT STRATTON","article","Good Riddance to Chief Wahoo","['Baseball', 'Cleveland Indians', 'Western Reserve Historical Society', 'Cleveland (Ohio)']",68,"OpEd",0,"01/30/18 08:13 PM","Unknown","I’ve lived in Cleveland all my life, and I’m glad to see the racist mascot go.","The New York Times","Op-Ed","https://www.nytimes.com/2018/01/30/opinion/chief-wahoo-cleveland.html"
"5a70d1ad10f40f00018be8d8",1501,"By NORIMITSU ONISHI and SOMINI SENGUPTA","article","In South Africa, Facing ‘Day Zero’ With No Water","['Cape Town (South Africa)', 'Water', 'Shortages', 'Drought', 'Rationing and Allocation of Resources', 'South Africa', 'African National Congress', 'Global Warming', 'vis-photo']",68,"Foreign",1,"01/30/18 08:12 PM","Africa","One of Africa’s richest cities is threatening to turn off the taps to its four million residents, cutting off homes and most businesses.","The New York Times","News","https://www.nytimes.com/2018/01/30/world/africa/cape-town-day-zero.html"
"5a70c57b10f40f00018be8ac",754,"By DAVID LEONHARDT","article","How Trump’s Critics Should Respond","['United States Politics and Government', 'State of the Union Message (US)', 'Trump, Donald J', 'Carrier Corp']",68,"OpEd",0,"01/30/18 07:20 PM","Unknown","The normalcy of a State of the Union address serves as a reminder of what works against Trump.","The New York Times","Op-Ed","https://www.nytimes.com/2018/01/30/opinion/trump-critics-sotu.html"
"5a70b7f310f40f00018be885",842,"By LELA MOORE","article","Unknown","['Gymnastics', 'Child Abuse and Neglect', 'Athletics and Sports', 'USA Gymnastics', 'Nassar, Lawrence G (1963- )']",65,"Sports",0,"01/30/18 06:22 PM","Unknown","We invite members of the gymnastics community to a conversation about the future of the sport and what changes they expect in the wake of the Nassar trial.","The New York Times","News","https://www.nytimes.com/2018/01/30/sports/larry-nassar-trial-gymnastics-gymnasts-reactions.html"
"5a70b2e710f40f00018be876",944,"By JESSE McKINLEY","article","A Republican Stalwart Sets Out on a Quest to Unseat Cuomo as Governor","['DeFrancisco, John A', 'Elections, Governors', 'Republican Party', 'Cuomo, Andrew M', 'New York State']",68,"Metro",22,"01/30/18 06:01 PM","Unknown","John DeFrancisco, a state senator for a quarter-century, plans to vacate his seat to challenge Gov. Andrew Cuomo.","The New York Times","News","https://www.nytimes.com/2018/01/30/nyregion/defrancisco-governor-campaign-cuomo.html"
"5a70b22d10f40f00018be86f",768,"By NICOLE LAMY","article","Unknown","['Books and Literature']",66,"BookReview",11,"01/30/18 05:57 PM","Book Review","Whether or not you’re nursing a heartbreak, these tales of unsettled passions will appeal to the romantic in all of us.","The New York Times","News","https://www.nytimes.com/2018/01/30/books/review/match-book-forbidden-love.html"
