,title,channel_title,views,likes,dislikes,comment_count,year,completo
0,John Lewis Christmas Ad 2017 - #MozTheMonster,John Lewis,7224515,55681,10247,9479,14,2014
1,Taylor Swift: …Ready for It? (Live) - SNL,Saturday Night Live,1053632,25561,2294,2757,14,2014
2,Eminem - Walk On Water (Audio) ft. Beyoncé,EminemVEVO,17158579,787420,43420,125882,14,2014
3,Goals from Salford City vs Class of 92 and Friends at The Peninsula Stadium!,Salford City Football Club,27833,193,12,37,14,2014
4,Dashcam captures truck's near miss with child in Norway,Cute Girl Videos,9815,30,2,30,14,2014
5,How My Relationship Started!,PointlessBlogVlogs,1182775,52708,1431,2333,14,2014
6,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,33523622,1634124,21082,85067,14,2014
7,CHRISTMAS HAS GONE TO MY HEAD,MoreZoella,1164201,57309,749,624,14,2014
8,Elbow - Golden Slumbers (John Lewis Advert 2017),ElbowVEVO,154494,2163,147,211,14,2014
9,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",JenniferLopezVEVO,9548677,190084,15015,11473,14,2014
10,CAN BABIES DO GYMNASTICS?  **World Record**,Nile Wilson,306724,9591,266,448,14,2014
11,"TV Reporter Interviews Alleged Bank Robber, Then Helps Police Catch Him",Inside Edition,254314,1746,125,298,14,2014
12,The New SpotMini,BostonDynamics,3701763,56561,2495,11608,15,2015
13,Mean Tweets – Jimmy Kimmel Edition,Jimmy Kimmel Live,2765121,35529,1705,2388,15,2015
14,CHRISTMAS ADVERTS & HOW WE MET,MoreZoella,446733,33256,994,2855,15,2015
15,Jimmy Fallon Pays Tribute to His Mother Gloria,The Tonight Show Starring Jimmy Fallon,1611093,58474,837,3294,15,2015
16,Who's the toughest player at Chelsea? | Eden Hazard | Teammates 2.0,Soccer AM,104291,3708,64,327,15,2015
17,"WWE fan interrupts Paul Heyman and Brock Lesnar to propose to his girlfriend: Raw, Nov. 13, 2017",WWE,1086201,24341,546,1693,15,2015
18,Full Extended Interview: Joe Biden Talks To Stephen Colbert,The Late Show with Stephen Colbert,544899,11586,434,2099,15,2015
19,DRESSED UP IN ALL DOLCE AND GABBANA | VLOG 51,Inthefrow,27065,1102,36,139,15,2015
20,ZOE THINKS IT'S CHRISTMAS ALREADY...,PointlessBlogVlogs,629648,33589,485,1761,15,2015
21,Marshmello - Blocks (Official Music Video),marshmello,2285136,180284,3399,11700,15,2015
22,Demi Lovato - Skyscraper in the Live Lounge,BBCRadio1VEVO,257854,14414,186,633,15,2015
23,BRUNCH WITH GIGI & GETTING A BETTER BUM,SamanthaMariaVlogs,58290,2369,78,201,15,2015
24,Goals from Salford City vs Class of 92 and Friends at The Peninsula Stadium!,Salford City Football Club,77458,357,38,69,15,2015
25,DESIGNER AUTUMN HAUL! | Amelia Liana,Amelia Liana,76238,2152,144,400,15,2015
26,Marc Maron on the Louis C.K Allegations (11/13/2017),Listen to this also,198666,1110,389,1020,15,2015
27,September 2017 - Pretentious Monthly Scrapbook 2017,Daniel J. Layton,20925,2275,7,144,15,2015
28,Weekend Update on Donald Trump's Asia Trip - SNL,Saturday Night Live,1778271,18265,1632,1480,15,2015
29,WHAT I BOUGHT LAST MONTH: AUTUMN HAUL | Lily Pebbles,Lily Pebbles,92705,2620,124,220,15,2015
30,John Lewis Christmas Advert 2017 | Reaction with Tom,Giovannasworld,39084,1440,46,127,15,2015
31,Eminem - Walk On Water (Audio) ft. Beyoncé,EminemVEVO,20539417,840642,47715,124236,15,2015
32,P!nk Carpool Karaoke,The Late Late Show with James Corden,3621389,141681,1289,8127,16,2016
33,Kim Kardashian Lets Gender of Third Child Slip,TheEllenShow,1559003,29898,884,1838,16,2016
34,The New SpotMini,BostonDynamics,5531707,72727,3362,14816,16,2016
35,Fall Out Boy - HOLD ME TIGHT OR DON’T,FallOutBoyVEVO,1258937,114661,2509,11298,16,2016
36,Justice League - Movie Review,Chris Stuckmann,627820,25647,982,7047,16,2016
37,CHRISTMAS ADVERTS & HOW WE MET,MoreZoella,1099126,58223,2511,4763,16,2016
38,Mean Tweets – Jimmy Kimmel Edition,Jimmy Kimmel Live,3842156,43972,2288,2854,16,2016
39,Jimmy Fallon Pays Tribute to His Mother Gloria,The Tonight Show Starring Jimmy Fallon,2223948,76806,1169,4176,16,2016
40,"Ric Flair surprises Charlotte to celebrate her championship win: SmackDown LIVE, Nov. 14, 2017",WWE,726260,17310,381,1823,16,2016
41,UNHhhh Ep 68: Goodbye Barbara w/ Trixie Mattel & Katya Zamolodchikova,WOWPresents,338908,25407,228,3184,16,2016
42,Who's the toughest player at Chelsea? | Eden Hazard | Teammates 2.0,Soccer AM,160597,4827,88,425,16,2016
43,The Making of a Song: “Delicate” – watch more on Taylor Swift NOW,Taylor Swift,507753,35595,483,2176,16,2016
44,Gal Gadot Talks About New Movie 'Justice League' And Sexual Harassment In Hollywood | TODAY,TODAY,61919,962,50,221,16,2016
45,Full Extended Interview: Joe Biden Talks To Stephen Colbert,The Late Show with Stephen Colbert,682131,13405,541,2435,16,2016
46,Clean Bandit - New Rules (Dua Lipa Cover) in the Radio 1 Live Lounge,BBC Radio 1,138228,5776,185,167,16,2016
47,BRUNCH WITH GIGI & GETTING A BETTER BUM,SamanthaMariaVlogs,91174,3145,116,230,16,2016
48,ZOE THINKS IT'S CHRISTMAS ALREADY...,PointlessBlogVlogs,665951,34806,565,1766,16,2016
49,DRESSED UP IN ALL DOLCE AND GABBANA | VLOG 51,Inthefrow,50614,1596,75,178,16,2016
