Education,Marital_Status,Income,Kids,Days_is_client,Recency,Expenses,Client_age,TotalNumPurchases,TotalAcceptedCmp,Complain,Response
Graduate,Single,58138.0,0,663,58,1617,57,25,0,0,1
Graduate,Single,46344.0,2,113,38,27,60,6,0,0,0
Graduate,Partner,71613.0,0,312,26,776,49,21,0,0,0
Graduate,Partner,26646.0,1,139,26,53,30,8,0,0,0
Postgraduate,Partner,58293.0,1,161,94,422,33,19,0,0,0
Postgraduate,Partner,62513.0,1,293,16,716,47,22,0,0,0
Graduate,Single,55635.0,1,593,34,590,43,21,0,0,0
Postgraduate,Partner,33454.0,1,417,32,169,29,10,0,0,0
Postgraduate,Partner,30351.0,1,388,19,46,40,6,0,0,1
Postgraduate,Partner,5648.0,2,108,68,49,64,2,1,0,0
Undergraduate,Partner,7500.0,0,593,59,61,38,6,0,0,0
Graduate,Single,63033.0,0,226,82,1102,55,16,0,0,0
Postgraduate,Single,59354.0,2,226,53,310,62,15,0,0,0
Graduate,Partner,17323.0,0,627,38,46,27,5,0,0,0
Postgraduate,Single,82800.0,0,582,23,1315,68,26,2,0,1
Graduate,Partner,41850.0,2,552,51,96,34,9,0,0,0
Graduate,Partner,37760.0,0,667,20,317,68,13,0,0,0
Postgraduate,Partner,76995.0,1,458,91,1782,65,26,1,0,0
Graduate,Single,33812.0,1,603,86,133,29,8,0,0,0
Graduate,Partner,37040.0,0,690,41,316,32,12,0,0,0
Postgraduate,Partner,58607.0,1,553,63,972,65,17,1,0,0
Postgraduate,Partner,65324.0,1,169,0,544,60,20,0,0,0
Graduate,Partner,40689.0,1,468,69,444,63,20,0,0,0
Graduate,Single,18589.0,0,543,89,75,45,8,0,0,0
Graduate,Partner,53359.0,2,398,4,257,38,14,0,0,0
Graduate,Partner,38360.0,1,394,26,131,25,9,0,0,0
Postgraduate,Partner,84618.0,0,219,96,1672,49,26,1,0,0
Postgraduate,Single,10979.0,0,38,34,30,25,8,0,0,0
Postgraduate,Partner,38620.0,0,414,56,318,51,11,0,0,0
Graduate,Partner,40548.0,1,627,31,120,44,9,1,0,0
Postgraduate,Single,46610.0,2,608,8,302,62,17,0,0,1
Postgraduate,Partner,68657.0,0,494,4,1196,68,18,0,0,0
Postgraduate,Single,49389.0,2,304,55,65,63,6,0,0,0
Postgraduate,Partner,67353.0,1,180,37,913,44,28,0,0,0
Graduate,Partner,23718.0,1,300,76,81,38,9,0,0,0
Graduate,Single,42429.0,1,138,99,67,41,7,0,0,0
Postgraduate,Single,48948.0,0,513,53,902,71,24,1,0,1
Graduate,Partner,80011.0,1,426,3,1395,34,21,0,0,0
Postgraduate,Partner,20559.0,1,474,88,53,29,7,0,0,0
Graduate,Partner,21994.0,1,552,4,22,57,4,0,0,0
Postgraduate,Partner,7500.0,1,270,19,31,39,8,0,0,0
Graduate,Single,79941.0,0,1,72,984,38,16,0,0,0
Graduate,Partner,7500.0,0,597,24,122,18,10,0,0,1
Graduate,Partner,41728.0,1,401,92,55,46,5,0,0,0
Postgraduate,Partner,72550.0,2,598,39,1319,60,28,0,0,0
Graduate,Single,65486.0,1,48,29,507,57,17,0,0,0
Postgraduate,Partner,79143.0,0,687,2,1693,50,29,0,0,0
Graduate,Single,35790.0,1,543,54,72,37,7,0,0,0
Graduate,Single,82582.0,0,22,54,1617,37,21,2,0,1
Graduate,Partner,66373.0,2,382,57,606,36,23,0,0,0
Postgraduate,Partner,82384.0,0,587,55,1957,59,27,1,0,1
Graduate,Single,70287.0,0,453,30,1093,48,21,0,0,1
Graduate,Single,27938.0,1,62,31,29,26,6,0,0,0
Postgraduate,Partner,55954.0,1,118,63,518,46,19,0,0,0
Postgraduate,Single,75777.0,0,360,12,1438,32,21,2,0,1
Graduate,Partner,66653.0,2,660,18,612,39,22,0,0,0
Graduate,Single,61823.0,1,496,26,884,62,24,0,0,0
Postgraduate,Single,67680.0,1,383,8,606,63,19,0,0,0
Graduate,Partner,70666.0,0,205,29,1076,66,16,0,0,0
Graduate,Partner,25721.0,1,404,75,34,43,5,0,0,1
Graduate,Partner,32474.0,2,49,0,11,47,4,0,0,0
Graduate,Single,88194.0,1,102,19,1274,35,32,2,0,1
Graduate,Partner,69096.0,1,275,4,653,56,18,0,0,0
Graduate,Partner,74854.0,3,447,90,1562,44,19,0,0,0
Postgraduate,Partner,66991.0,0,656,1,1253,60,21,0,0,0
Graduate,Partner,65031.0,1,469,29,863,55,30,0,0,0
Postgraduate,Partner,60631.0,2,450,88,661,39,24,1,0,0
Graduate,Partner,28332.0,0,60,58,65,62,8,0,0,0
Graduate,Single,40246.0,1,557,68,13,37,4,0,0,0
Postgraduate,Partner,75251.0,0,671,34,1890,42,19,0,0,1
Graduate,Single,75825.0,0,625,40,2209,38,22,1,0,1
Graduate,Partner,26326.0,0,298,12,18,38,4,0,1,0
Graduate,Partner,56046.0,0,543,9,692,49,21,1,0,1
Graduate,Single,29760.0,1,669,87,165,29,12,0,0,0
