nombre,precio,imagen_url,calificacion,Stock
The Secret Healer,Â£34.56,https://books.toscrape.com/catalogue/page-47.html../media/cache/69/d2/69d225899cce0a150c605ead01e02f60.jpg,Three,In stock
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Â£54.12,https://books.toscrape.com/catalogue/page-47.html../media/cache/56/ea/56eac75378feb4cab0dcb9d2101cf58b.jpg,Three,In stock
The Republic,Â£33.78,https://books.toscrape.com/catalogue/page-47.html../media/cache/7b/2c/7b2cb77c4608fce189caebaa842e135d.jpg,Three,In stock
The Odyssey,Â£29.64,https://books.toscrape.com/catalogue/page-47.html../media/cache/0d/e8/0de8211253c4131e0caf9e8528d99443.jpg,Three,In stock
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Â£57.70,https://books.toscrape.com/catalogue/page-47.html../media/cache/34/2e/342ec55d460f3dd49d77dac2bd4ff489.jpg,Four,In stock
The Nicomachean Ethics,Â£36.34,https://books.toscrape.com/catalogue/page-47.html../media/cache/f0/aa/f0aa9ae0319b1d6e0706e6053020e696.jpg,One,In stock
The Name of the Wind (The Kingkiller Chronicle #1),Â£50.59,https://books.toscrape.com/catalogue/page-47.html../media/cache/6a/b3/6ab3616e7495ef64b1546a178cf8a9e7.jpg,Three,In stock
The Mirror & the Maze (The Wrath and the Dawn #1.5),Â£29.38,https://books.toscrape.com/catalogue/page-47.html../media/cache/84/a8/84a85a5ecca2bdc17e219241938ebdba.jpg,One,In stock
The Little Prince,Â£45.42,https://books.toscrape.com/catalogue/page-47.html../media/cache/c0/78/c078355608dd81c7c5e4f5e1c5f73d23.jpg,Two,In stock
The Light of the Fireflies,Â£54.43,https://books.toscrape.com/catalogue/page-47.html../media/cache/17/8e/178e6e1cee8e5980e31148ea10a7321f.jpg,One,In stock
The Last Girl (The Dominion Trilogy #1),Â£36.26,https://books.toscrape.com/catalogue/page-47.html../media/cache/da/47/da4746e620f8ccd7cf20628d1a5e535a.jpg,Two,In stock
The Iliad,Â£16.16,https://books.toscrape.com/catalogue/page-47.html../media/cache/b4/49/b449e504e387b69322d85e76a57ab60f.jpg,One,In stock
The Hook Up (Game On #1),Â£36.29,https://books.toscrape.com/catalogue/page-47.html../media/cache/38/f1/38f1543cd2d51c2728678f5ecc128958.jpg,Five,In stock
The Haters,Â£27.89,https://books.toscrape.com/catalogue/page-47.html../media/cache/4c/e9/4ce9f937ac784ae0b377bcbf2a38a8b2.jpg,Five,In stock
The Girl You Lost,Â£12.29,https://books.toscrape.com/catalogue/page-47.html../media/cache/90/0d/900dba6987796f4312a6a6737b0ea94d.jpg,Five,In stock
